employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,month_year,tenure
Burke Randall Burnett,BRB0355,Burke.Randall.Burnett@dtaa.com,FieldServiceEngineer,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Sharon Britanni Kerr,2010-06,2010-01-2010-06
Burke Rooney Stafford,BRS0734,Burke.Rooney.Stafford@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,2010-04,2010-01-2010-04
Byron Armand Livingston,BAL0044,Byron.Armand.Livingston@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,2010-06,2010-01-2010-06
Cade Rajah Patterson,CRP0456,Cade.Rajah.Patterson@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,2010-06,2010-01-2010-06
Caesar Allen Cash,CAC0889,Caesar.Allen.Cash@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,2010-02,2010-01-2010-02
Cailin Casey Mckee,CCM0136,Cailin.Casey.Mckee@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,2010-06,2010-01-2010-06
Cain Byron Baldwin,CBB0365,Cain.Byron.Baldwin@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,2010-06,2010-01-2010-06
Cairo Theodore Robles,CTR0341,Cairo.Theodore.Robles@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Caldwell Ian Maxwell,CIM0926,Caldwell.Ian.Maxwell@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,2010-06,2010-01-2010-06
Caldwell Quamar Head,CQH0701,Caldwell.Quamar.Head@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,2010-06,2010-01-2010-06
Caleb Jonas Chang,CJC0494,Caleb.Jonas.Chang@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Caleb Mason Ball,CMB0912,Caleb.Mason.Ball@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Todd Vance Spears,2010-06,2010-01-2010-06
Callum Brendan Gonzalez,CBG0490,Callum.Brendan.Gonzalez@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Callum Jasper Gilmore,CJG0470,Callum.Jasper.Gilmore@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,2010-06,2010-01-2010-06
Calvin Edan Love,CEL0561,Calvin.Edan.Love@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,2010-06,2010-01-2010-06
Calvin Jarrod Hood,CJH0702,Calvin.Jarrod.Hood@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,2010-06,2010-01-2010-06
Cameran Madonna Shepard,CMS0454,Cameran.Madonna.Shepard@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,2010-06,2010-01-2010-06
Cameron Noel Elliott,CNE0352,Cameron.Noel.Elliott@dtaa.com,ChiefEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Declan Lester Moss,2010-06,2010-01-2010-06
Cameron Shay Lester,CSL0949,Cameron.Shay.Lester@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,2010-06,2010-01-2010-06
Camilla Camille Leach,CCL0068,Camilla.Camille.Leach@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,2010-06,2010-01-2010-06
Camilla Claire Whitehead,CCW0524,Camilla.Claire.Whitehead@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-06,2010-01-2010-06
Camille Julie Freeman,CJF0802,Camille.Julie.Freeman@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,2010-06,2010-01-2010-06
Candice Lunea Fischer,CLF0852,Candice.Lunea.Fischer@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,2010-06,2010-01-2010-06
Carl Ferdinand Wong,CFW0264,Carl.Ferdinand.Wong@dtaa.com,MaterialsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle,2010-02,2010-01-2010-02
Carla Amelia Shannon,CAS0507,Carla.Amelia.Shannon@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-06,2010-01-2010-06
Carter Harrison Maldonado,CHM0821,Carter.Harrison.Maldonado@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,2010-06,2010-01-2010-06
Casey Edward Joyce,CEJ0109,Casey.Edward.Joyce@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,2010-06,2010-01-2010-06
Casey Xerxes Conrad,CXC0336,Casey.Xerxes.Conrad@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Cassady Quincy Hampton,CQH0730,Cassady.Quincy.Hampton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,2010-06,2010-01-2010-06
Cassidy Florence Gibbs,CFG0959,Cassidy.Florence.Gibbs@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,2010-06,2010-01-2010-06
Castor Mark Wolf,CMW0783,Castor.Mark.Wolf@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Catherine Savannah Bullock,CSB0080,Catherine.Savannah.Bullock@dtaa.com,AdministrativeAssistant,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,2010-06,2010-01-2010-06
Cathleen Kelsey Burke,CKB0427,Cathleen.Kelsey.Burke@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,2010-06,2010-01-2010-06
Cathleen Samantha Craig,CSC0217,Cathleen.Samantha.Craig@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,2010-05,2010-01-2010-05
Cecilia Freya Morgan,CFM0767,Cecilia.Freya.Morgan@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Cecilia Yuri Ashley,CYA0506,Cecilia.Yuri.Ashley@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-04,2010-01-2010-04
Cedric Alexander Bowers,CAB0388,Cedric.Alexander.Bowers@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,2010-06,2010-01-2010-06
Chadwick Armand Nunez,CAN0842,Chadwick.Armand.Nunez@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,2010-06,2010-01-2010-06
Chaim Chadwick Chang,CCC0393,Chaim.Chadwick.Chang@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,2010-06,2010-01-2010-06
Chaim Grant Fernandez,CGF0337,Chaim.Grant.Fernandez@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Chanda Celeste Mosley,CCM0855,Chanda.Celeste.Mosley@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,2010-06,2010-01-2010-06
Chanda Tamekah William,CTW0500,Chanda.Tamekah.William@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Chandler Ashton Madden,CAM0102,Chandler.Ashton.Madden@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,2010-06,2010-01-2010-06
Chandler Raymond Kirk,CRK0916,Chandler.Raymond.Kirk@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,2010-06,2010-01-2010-06
Charde Cynthia Rasmussen,CCR0863,Charde.Cynthia.Rasmussen@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,2010-06,2010-01-2010-06
Charde Lareina Barrett,CLB0774,Charde.Lareina.Barrett@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Charissa Nyssa Mcgee,CNM0800,Charissa.Nyssa.Mcgee@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,2010-06,2010-01-2010-06
Charity Stacey Jennings,CSJ0340,Charity.Stacey.Jennings@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Charity Uta Daniels,CUD0795,Charity.Uta.Daniels@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,2010-06,2010-01-2010-06
Chastity Quyn Wilkerson,CQW0652,Chastity.Quyn.Wilkerson@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,2010-06,2010-01-2010-06
Chelsea Aspen Allen,CAA0612,Chelsea.Aspen.Allen@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-06,2010-01-2010-06
Cherokee Tashya Ramirez,CTR0697,Cherokee.Tashya.Ramirez@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,2010-06,2010-01-2010-06
Chester Caldwell Mendoza,CCM0467,Chester.Caldwell.Mendoza@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,2010-06,2010-01-2010-06
Cheyenne Kay Dickerson,CKD0680,Cheyenne.Kay.Dickerson@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,2010-06,2010-01-2010-06
Cheyenne Lesley Dominguez,CLD0894,Cheyenne.Lesley.Dominguez@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,2010-06,2010-01-2010-06
Chiquita Linda Stokes,CLS0296,Chiquita.Linda.Stokes@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,2010-06,2010-01-2010-06
Christine Reagan Deleon,CRD0624,Christine.Reagan.Deleon@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-02,2010-01-2010-02
Claire Olivia Martin,COM0321,Claire.Olivia.Martin@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,2010-06,2010-01-2010-06
Claudia Galena Baldwin,CGB0637,Claudia.Galena.Baldwin@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,2010-06,2010-01-2010-06
Clayton Clark Humphrey,CCH0182,Clayton.Clark.Humphrey@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Cleo Jeanette Morales,CJM0521,Cleo.Jeanette.Morales@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-06,2010-01-2010-06
Clinton Coby Wolfe,CCW0031,Clinton.Coby.Wolfe@dtaa.com,Manager,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Fatima Ulla Mcclure,2010-06,2010-01-2010-06
Cody Jonathan Potter,CJP0952,Cody.Jonathan.Potter@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,2010-06,2010-01-2010-06
Cole Aaron Mcfarland,CAM0681,Cole.Aaron.Mcfarland@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,2010-06,2010-01-2010-06
Colin Evan Brown,CEB0210,Colin.Evan.Brown@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,2010-06,2010-01-2010-06
Colin Lawrence Holder,CLH0703,Colin.Lawrence.Holder@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,2010-06,2010-01-2010-06
Colin Stuart Holloway,CSH0626,Colin.Stuart.Holloway@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-06,2010-01-2010-06
Colorado Joel Merrill,CJM0138,Colorado.Joel.Merrill@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,2010-06,2010-01-2010-06
Colorado John Valentine,CJV0286,Colorado.John.Valentine@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,2010-06,2010-01-2010-06
Colt Ishmael Mccall,CIM0271,Colt.Ishmael.Mccall@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,2010-06,2010-01-2010-06
Colt Kendall Perez,CKP0721,Colt.Kendall.Perez@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,2010-06,2010-01-2010-06
Colt Walter Reynolds,CWR0502,Colt.Walter.Reynolds@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Colton Kaseem Bolton,CKB0482,Colton.Kaseem.Bolton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Colton Nathan Barber,CNB0900,Colton.Nathan.Barber@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,2010-06,2010-01-2010-06
Connor Phelan Guerra,CPG0322,Connor.Phelan.Guerra@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,2010-06,2010-01-2010-06
Constance Audrey Hicks,CAH0936,Constance.Audrey.Hicks@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,2010-06,2010-01-2010-06
Cora Aurora Buckner,CAB0614,Cora.Aurora.Buckner@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-06,2010-01-2010-06
Cora Clementine Higgins,CCH0685,Cora.Clementine.Higgins@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,2010-06,2010-01-2010-06
Cora Maisie Mclean,CMM0487,Cora.Maisie.Mclean@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Courtney Brynn Garrett,CBG0398,Courtney.Brynn.Garrett@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,2010-06,2010-01-2010-06
Cullen Gary Adams,CGA0629,Cullen.Gary.Adams@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-06,2010-01-2010-06
Cyrus Connor Atkinson,CCA0046,Cyrus.Connor.Atkinson@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,2010-06,2010-01-2010-06
Dai Keely Bullock,DKB0631,Dai.Keely.Bullock@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,2010-06,2010-01-2010-06
Dakota Edward Brady,DEB0782,Dakota.Edward.Brady@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Dale Benjamin Sharpe,DBS0235,Dale.Benjamin.Sharpe@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,2010-06,2010-01-2010-06
Dale Dorian Mercado,DDM0579,Dale.Dorian.Mercado@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,2010-06,2010-01-2010-06
Dalton Perry Mejia,DPM0423,Dalton.Perry.Mejia@dtaa.com,HardwareEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,2010-06,2010-01-2010-06
Damian Omar Le,DOL0332,Damian.Omar.Le@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Dane Davis Atkins,DDA0476,Dane.Davis.Atkins@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Dante Vaughan Weber,DVW0103,Dante.Vaughan.Weber@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,2010-06,2010-01-2010-06
Daphne Ruby Reilly,DRR0242,Daphne.Ruby.Reilly@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,2010-06,2010-01-2010-06
Daquan Tucker Pugh,DTP0379,Daquan.Tucker.Pugh@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,2010-06,2010-01-2010-06
Daria Felicia Rowland,DFR0218,Daria.Felicia.Rowland@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,2010-06,2010-01-2010-06
Daria Samantha Mcbride,DSM0591,Daria.Samantha.Mcbride@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,2010-06,2010-01-2010-06
Daryl Ocean Patel,DOP0562,Daryl.Ocean.Patel@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,2010-06,2010-01-2010-06
Daryl Skyler Brock,DSB0731,Daryl.Skyler.Brock@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,2010-06,2010-01-2010-06
Dean Flynn Hines,DFH0188,Dean.Flynn.Hines@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Dean Lester Figueroa,DLF0377,Dean.Lester.Figueroa@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,2010-06,2010-01-2010-06
Deanna Imelda Blanchard,DIB0285,Deanna.Imelda.Blanchard@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,2010-06,2010-01-2010-06
Deborah Barbara White,DBW0483,Deborah.Barbara.White@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Deborah Victoria Mcclure,DVM0265,Deborah.Victoria.Mcclure@dtaa.com,MaterialsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle,2010-06,2010-01-2010-06
Declan Gareth Mclaughlin,DGM0754,Declan.Gareth.Mclaughlin@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,2010-01,2010-01-2010-01
Declan Zachery Caldwell,DZC0228,Declan.Zachery.Caldwell@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,2010-06,2010-01-2010-06
Deirdre Amaya Garcia,DAG0558,Deirdre.Amaya.Garcia@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,2010-06,2010-01-2010-06
Delilah Pearl Schneider,DPS0262,Delilah.Pearl.Schneider@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,2010-05,2010-01-2010-05
Demetrius Alvin Levy,DAL0673,Demetrius.Alvin.Levy@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,2010-06,2010-01-2010-06
Demetrius Barry Bullock,DBB0384,Demetrius.Barry.Bullock@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,2010-06,2010-01-2010-06
Denise Ifeoma Doyle,DID0650,Denise.Ifeoma.Doyle@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,2010-06,2010-01-2010-06
Dennis Gray Wilson,DGW0752,Dennis.Gray.Wilson@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,2010-06,2010-01-2010-06
Desirae Mari Koch,DMK0257,Desirae.Mari.Koch@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,2010-06,2010-01-2010-06
Devin Abdul Rogers,DAR0885,Devin.Abdul.Rogers@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,2010-01,2010-01-2010-01
Devin Brett Guzman,DBG0261,Devin.Brett.Guzman@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,2010-06,2010-01-2010-06
Dexter Jamal Simon,DJS0682,Dexter.Jamal.Simon@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,2010-06,2010-01-2010-06
Diana Lillian Solis,DLS0383,Diana.Lillian.Solis@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,2010-06,2010-01-2010-06
Dominic Calvin Hewitt,DCH0843,Dominic.Calvin.Hewitt@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,2010-06,2010-01-2010-06
Dominic Howard Mcconnell,DHM0937,Dominic.Howard.Mcconnell@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,2010-06,2010-01-2010-06
Donovan Garth Nieves,DGN0480,Donovan.Garth.Nieves@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,2010-06,2010-01-2010-06
Doris Mona Michael,DMM0623,Doris.Mona.Michael@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-06,2010-01-2010-06
Dorothy Marny Goff,DMG0358,Dorothy.Marny.Goff@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,2010-06,2010-01-2010-06
Drew Ivan Beck,DIB0081,Drew.Ivan.Beck@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,2010-06,2010-01-2010-06
Dustin Gage Franco,DGF0443,Dustin.Gage.Franco@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,2010-06,2010-01-2010-06
Dylan Tiger Terry,DTT0076,Dylan.Tiger.Terry@dtaa.com,ChiefEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Declan Lester Moss,2010-06,2010-01-2010-06
Eagan Gannon Koch,EGK0893,Eagan.Gannon.Koch@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,2010-06,2010-01-2010-06
Eagan Zephania Talley,EZT0640,Eagan.Zephania.Talley@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,2010-06,2010-01-2010-06
Eaton Burton Crane,EBC0390,Eaton.Burton.Crane@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,2010-06,2010-01-2010-06
Eaton Samuel Jennings,ESJ0670,Eaton.Samuel.Jennings@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,2010-06,2010-01-2010-06
Echo Leandra Torres,ELT0769,Echo.Leandra.Torres@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Edan Ciaran Larson,ECL0930,Edan.Ciaran.Larson@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,2010-06,2010-01-2010-06
Edan Marsden Briggs,EMB0531,Edan.Marsden.Briggs@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-06,2010-01-2010-06
Eden Deborah Ball,EDB0714,Eden.Deborah.Ball@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,2010-06,2010-01-2010-06
Eden Merrill Stokes,EMS0317,Eden.Merrill.Stokes@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,2010-06,2010-01-2010-06
